index,softwareUnderstanding,understandingConcepts,practiceSM,testSM
2173,51,47.0,44.5,74.5
2174,28,35.5,54.0,38.0
2175,37,40.0,29.5,43.5
2176,14,28.5,19.0,32.0
2177,32,37.5,39.0,43.0
2178,49,46.0,41.5,67.5
2179,38,40.5,44.0,19.0
2180,35,39.0,44.5,25.5
2181,34,38.5,60.0,20.0
2182,33,38.0,55.5,32.5
2183,45,44.0,65.5,68.5
2184,32,37.5,28.0,18.0
2185,18,30.5,58.0,29.0
2186,37,40.0,54.5,44.5
2187,14,28.5,52.0,39.0
2188,32,37.5,61.0,61.0
2189,30,36.5,50.0,36.0
2190,54,48.5,61.0,37.0
2191,29,36.0,18.5,23.5
2192,40,41.5,37.0,22.0
2193,47,45.0,38.5,62.5
2194,58,50.5,70.0,39.0
2195,25,34.0,58.5,46.5
2196,34,38.5,24.0,17.0
2197,32,37.5,42.0,61.0
2198,35,39.0,43.5,64.5
2199,40,41.5,69.0,55.0
2200,65,54.0,69.5,41.5
2201,43,43.0,36.5,61.5
2202,32,37.5,63.0,35.0
2203,32,37.5,48.0,63.0
2204,16,29.5,13.0,31.0
2205,32,37.5,63.0,46.0
2206,40,41.5,61.0,58.0
2207,18,30.5,53.0,40.0
2208,33,38.0,24.5,30.5
2209,67,55.5,62.5,52.5
2210,59,51.5,62.5,58.5
2211,46,45.0,39.0,61.0
2212,28,36.0,43.0,55.0
2213,24,34.0,50.0,45.0
2214,39,41.5,56.5,24.5
2215,33,38.5,60.5,41.5
2216,59,51.5,33.5,56.5
2217,46,45.0,27.0,43.0
2218,31,37.5,25.5,59.5
2219,18,31.0,14.0,18.0
2220,28,36.0,29.0,15.0
2221,11,27.5,32.5,55.5
2222,17,30.5,9.5,32.5
2223,37,40.5,25.5,28.5
2224,18,31.0,24.0,22.0
2225,37,40.5,26.5,67.5
2226,42,43.0,43.0,40.0
2227,55,49.5,67.5,29.5
2228,51,47.5,26.5,31.5
2229,54,49.0,74.0,75.0
2230,7,25.5,29.5,10.5
2231,35,39.5,37.5,63.5
2232,49,46.5,67.5,44.5
2233,38,41.0,41.0,45.0
2234,30,37.0,62.0,18.0
2235,14,29.0,19.0,7.0
2236,23,33.5,34.5,30.5
2237,28,36.0,28.0,41.0
2238,28,36.0,16.0,45.0
2239,65,54.5,63.5,35.5
2240,18,31.0,24.0,51.0
2241,25,34.5,43.5,15.5
2242,14,29.0,52.0,11.0
2243,49,46.5,44.5,24.5
2244,45,44.5,63.5,59.5
2245,37,40.5,52.5,51.5
2246,14,29.0,48.0,42.0
2247,43,43.5,60.5,28.5
2248,49,46.5,32.5,30.5
2249,18,31.0,22.0,17.0
2250,36,40.0,32.0,34.0
2251,42,43.0,67.0,42.0
2252,35,39.5,48.5,23.5
2253,26,35.0,54.0,55.0
2254,35,39.5,40.5,39.5
2255,41,42.5,43.5,31.5
2256,18,31.0,55.0,34.0
2257,57,50.5,58.5,32.5
2258,18,31.0,34.0,33.0
2259,63,53.5,67.5,59.5
2260,46,45.0,44.0,47.0
2261,53,48.5,32.5,32.5
2262,35,39.5,59.5,35.5
2263,44,44.0,69.0,59.0
2264,25,34.5,45.5,50.5
2265,31,37.5,21.5,28.5
2266,50,47.0,25.0,26.0
2267,18,31.0,41.0,37.0
2268,37,40.5,41.5,65.5
2269,53,48.5,54.5,75.5
2270,30,37.0,43.0,34.0
2271,35,39.5,41.5,66.5
2272,25,34.5,42.5,47.5
2273,20,32.0,44.0,22.0
2274,25,34.5,17.5,57.5
2275,60,52.0,42.0,62.0
2276,29,36.5,36.5,43.5
2277,23,33.5,51.5,23.5
2278,29,36.5,45.5,32.5
2279,51,47.5,41.5,64.5
2280,26,35.0,50.0,47.0
2281,31,37.5,52.5,55.5
2282,32,38.0,32.0,46.0
2283,29,36.5,27.5,63.5
2284,26,35.0,25.0,28.0
2285,43,43.5,58.5,37.5
2286,41,42.5,67.5,63.5
2287,32,38.0,28.0,43.0
2288,26,35.0,27.0,48.0
2289,28,36.0,56.0,22.0
2290,68,56.0,51.0,48.0
2291,35,39.5,26.5,33.5
2292,29,36.5,32.5,59.5
2293,25,34.5,44.5,34.5
2294,21,32.5,15.5,52.5
2295,31,37.5,25.5,27.5
2296,46,45.0,35.0,50.0
2297,39,41.5,61.5,31.5
2298,32,38.0,54.0,29.0
2299,21,32.5,28.5,34.5
2300,32,38.0,55.0,26.0
2301,26,35.0,37.0,63.0
2302,37,40.5,67.5,45.5
2303,21,32.5,49.5,52.5
2304,21,32.5,28.5,29.5
2305,21,32.5,31.5,57.5
2306,21,32.5,37.5,58.5
2307,28,36.0,26.0,34.0
2308,41,42.5,31.5,53.5
2309,38,41.0,19.0,22.0
2310,18,31.0,56.0,50.0
2311,70,57.0,55.0,49.0
2312,35,39.5,44.5,32.5
2313,37,40.5,47.5,59.5
2314,29,36.5,47.5,47.5
2315,18,31.0,58.0,36.0
2316,68,56.0,35.0,74.0
2317,23,33.5,25.5,31.5
2318,43,43.5,25.5,21.5
2319,26,35.0,15.0,49.0
2320,35,39.5,62.5,28.5
2321,56,50.0,58.0,77.0
2322,7,25.5,14.5,44.5
2323,26,35.0,46.0,54.0
2324,35,39.5,26.5,63.5
2325,23,33.5,53.5,29.5
2326,28,36.0,37.0,16.0
2327,36,40.0,58.0,59.0
2328,23,33.5,17.5,39.5
2329,34,39.0,56.0,17.0
2330,28,36.0,17.0,38.0
2331,28,36.0,29.0,27.0
2332,28,36.0,22.0,15.0
2333,51,47.5,62.5,62.5
2334,65,55.0,74.5,33.5
2335,25,35.0,46.5,25.5
2336,41,43.0,43.5,42.5
2337,39,42.0,48.5,62.5
2338,25,35.0,19.5,59.5
2339,39,42.0,24.5,51.5
2340,39,42.0,27.5,49.5
2341,39,42.0,45.5,27.5
2342,44,44.5,59.0,49.0
2343,39,42.0,34.5,23.5
2344,26,35.5,50.0,26.0
2345,26,35.5,61.0,31.0
2346,64,54.5,52.0,71.0
2347,26,35.5,54.0,61.0
2348,39,42.0,23.5,25.5
2349,39,42.0,49.5,47.5
2350,26,35.5,25.0,21.0
2351,64,54.5,50.0,55.0
2352,64,54.5,76.0,66.0
2353,39,42.0,26.5,45.5
2354,39,42.0,25.5,24.5
2355,26,35.5,20.0,14.0
2356,39,42.0,24.5,23.5
2357,45,45.0,57.5,60.5
2358,40,42.5,34.0,52.0
2359,63,54.0,48.5,48.5
2360,26,35.5,40.0,38.0
2361,39,42.0,59.5,69.5
2362,63,54.0,76.5,80.5
2363,27,36.0,14.5,59.5
2364,63,54.0,56.5,67.5
2365,26,35.5,45.0,44.0
2366,26,35.5,14.0,49.0
2367,39,42.0,47.5,35.5
2368,63,54.0,31.5,63.5
2369,23,34.0,38.5,48.5
2370,39,42.0,23.5,59.5
2371,39,42.0,49.5,20.5
2372,50,47.5,31.0,43.0
2373,39,42.0,44.5,24.5
2374,38,41.5,49.0,42.0
2375,23,34.0,54.5,18.5
2376,38,41.5,57.0,25.0
2377,27,36.0,28.5,26.5
2378,45,45.0,67.5,58.5
2379,62,53.5,56.0,38.0
2380,68,56.5,62.0,59.0
2381,40,42.5,43.0,22.0
2382,62,53.5,78.0,43.0
2383,68,56.5,56.0,48.0
2384,62,53.5,72.0,80.0
2385,40,42.5,23.0,38.0
2386,43,44.0,48.5,54.5
2387,45,45.0,57.5,26.5
2388,69,57.0,44.5,58.5
2389,61,53.0,60.5,62.5
2390,61,53.0,53.5,34.5
2391,28,36.5,16.0,30.0
2392,41,43.0,35.5,50.5
2393,28,36.5,42.0,37.0
2394,28,36.5,40.0,45.0
2395,28,36.5,44.0,61.0
2396,28,36.5,21.0,42.0
2397,28,36.5,54.0,35.0
2398,43,44.0,22.5,43.5
2399,28,36.5,18.0,23.0
2400,28,36.5,17.0,53.0
2401,28,36.5,32.0,51.0
2402,28,36.5,42.0,63.0
2403,28,36.5,21.0,45.0
2404,28,36.5,27.0,15.0
2405,60,52.5,79.0,76.0
2406,21,33.0,60.5,19.5
2407,69,57.0,57.5,47.5
2408,60,52.5,47.0,80.0
2409,21,33.0,38.5,55.5
2410,21,33.0,39.5,12.5
2411,60,52.5,56.0,68.0
2412,21,33.0,49.5,19.5
2413,60,52.5,39.0,76.0
2414,21,33.0,13.5,46.5
2415,21,33.0,52.5,21.5
2416,28,36.5,36.0,23.0
2417,21,33.0,58.5,39.5
2418,21,33.0,51.5,58.5
2419,43,44.0,64.5,67.5
2420,60,52.5,68.0,62.0
2421,60,52.5,80.0,64.0
2422,40,42.5,39.0,51.0
2423,39,42.0,34.5,42.5
2424,60,52.5,65.0,70.0
2425,59,52.0,32.5,30.5
2426,20,32.5,34.0,26.0
2427,59,52.0,40.5,45.5
2428,42,43.5,30.0,44.0
2429,29,37.0,27.5,64.5
2430,29,37.0,42.5,34.5
2431,49,47.0,57.5,33.5
2432,46,45.5,68.0,48.0
2433,73,59.0,38.5,81.5
2434,46,45.5,49.0,56.0
2435,58,51.5,40.0,32.0
2436,46,45.5,60.0,49.0
2437,58,51.5,37.0,78.0
2438,58,51.5,45.0,40.0
2439,43,44.0,49.5,53.5
2440,58,51.5,33.0,44.0
2441,46,45.5,57.0,26.0
2442,46,45.5,71.0,44.0
2443,46,45.5,29.0,28.0
2444,43,44.0,58.5,21.5
2445,58,51.5,73.0,35.0
2446,37,41.0,52.5,50.5
2447,19,32.0,9.5,57.5
2448,58,51.5,56.0,47.0
2449,74,59.5,42.0,52.0
2450,37,41.0,40.5,68.5
2451,19,32.0,48.5,15.5
2452,57,51.0,69.5,77.5
2453,34,39.5,45.0,52.0
2454,37,41.0,50.5,59.5
2455,57,51.0,44.5,78.5
2456,57,51.0,43.5,46.5
2457,37,41.0,63.5,30.5
2458,43,44.0,60.5,21.5
2459,30,37.5,27.0,47.0
2460,19,32.0,57.5,34.5
2461,76,60.5,58.0,53.0
2462,19,32.0,26.5,29.5
2463,30,37.5,53.0,19.0
2464,34,39.5,30.0,55.0
2465,76,60.5,40.0,82.0
2466,37,41.0,38.5,23.5
2467,76,60.5,55.0,42.0
2468,31,38.0,16.5,41.5
2469,18,31.5,16.0,22.0
2470,18,31.5,42.0,41.0
2471,18,31.5,47.0,18.0
2472,18,31.5,33.0,42.0
2473,18,31.5,11.0,42.0
2474,18,31.5,50.0,18.0
2475,43,44.0,22.5,56.5
2476,43,44.0,48.5,41.5
2477,18,31.5,21.0,15.0
2478,18,31.5,10.0,34.0
2479,18,31.5,36.0,46.0
2480,36,40.5,33.0,31.0
2481,37,41.0,57.5,23.5
2482,43,44.0,45.5,21.5
2483,76,60.5,45.0,56.0
2484,42,43.5,39.0,33.0
2485,37,41.0,42.5,39.5
2486,37,41.0,45.5,22.5
2487,40,42.5,35.0,22.0
2488,40,42.5,30.0,48.0
2489,77,61.0,76.5,59.5
2490,43,44.0,71.5,53.5
2491,43,44.0,51.5,56.5
2492,47,46.0,47.5,33.5
2493,43,44.0,31.5,27.5
2494,16,30.5,25.0,18.0
2495,48,46.5,52.0,55.0
2496,43,44.0,57.5,39.5
2497,43,44.0,38.5,69.5
2498,32,38.5,23.0,56.0
2499,32,38.5,23.0,21.0
2500,55,50.0,39.5,33.5
2501,15,30.0,13.5,7.5
2502,32,38.5,22.0,43.0
2503,32,38.5,59.0,25.0
2504,55,50.0,76.5,57.5
2505,32,38.5,24.0,33.0
2506,32,38.5,62.0,57.0
2507,55,50.0,56.5,53.5
2508,32,38.5,63.0,52.0
2509,32,38.5,24.0,25.0
2510,55,50.0,34.5,53.5
2511,15,30.0,32.5,11.5
2512,32,38.5,26.0,56.0
2513,15,30.0,18.5,36.5
2514,15,30.0,27.5,46.5
2515,48,46.5,46.0,60.0
2516,14,29.5,42.0,54.0
2517,14,29.5,30.0,37.0
2518,32,38.5,51.0,55.0
2519,14,29.5,49.0,45.0
2520,14,29.5,29.0,54.0
2521,14,29.5,25.0,17.0
2522,14,29.5,33.0,50.0
2523,81,63.0,59.5,68.5
2524,54,49.5,61.0,69.0
2525,32,38.5,39.0,58.0
2526,36,40.5,56.0,52.0
2527,53,49.0,58.5,71.5
2528,36,40.5,48.0,50.0
2529,36,40.5,68.0,68.0
2530,53,49.0,44.5,41.5
2531,53,49.0,31.5,49.5
2532,53,49.0,36.5,49.5
2533,53,49.0,58.5,60.5
2534,50,47.5,61.0,75.0
2535,33,39.0,63.5,16.5
2536,33,39.0,22.5,18.5
2537,33,39.0,46.5,45.5
2538,11,28.0,42.5,29.5
2539,33,39.0,24.5,45.5
2540,11,28.0,34.5,5.5
2541,11,28.0,36.5,21.5
2542,48,46.5,65.0,37.0
2543,36,40.5,40.0,52.0
2544,52,48.5,55.0,30.0
2545,50,47.5,55.0,52.0
2546,86,65.5,71.0,54.0
2547,52,48.5,47.0,38.0
2548,40,42.5,26.0,61.0
2549,52,48.5,55.0,48.0
2550,48,46.5,33.0,32.0
2551,35,40.0,35.5,66.5
2552,7,26.0,44.5,47.5
2553,7,26.0,29.5,20.5
2554,35,40.0,42.5,54.5
2555,49,47.0,58.5,62.5
2556,35,40.0,61.5,67.5
2557,50,47.5,71.0,25.0
2558,35,40.0,31.5,48.5
2559,50,47.5,73.0,75.0
2560,35,40.0,34.5,45.5
2561,35,40.0,44.5,23.5
2562,35,40.0,63.5,55.5
2563,50,47.5,75.0,39.0
2564,35,40.0,48.5,56.5
2565,50,47.5,72.0,43.0
2566,35,40.0,40.5,42.5
2567,35,40.0,58.5,58.5
2568,51,48.0,43.5,53.5
2569,35,40.0,47.5,56.5
2570,51,48.0,37.5,64.5
2571,35,40.0,56.5,44.5
2572,35,40.0,27.5,26.5
2573,50,47.5,56.0,66.0
2574,49,47.0,47.5,26.5
2575,50,47.5,46.0,66.0
2576,35,40.0,32.5,25.5
2577,35,40.0,49.5,19.5
2578,51,48.0,63.5,30.5
2579,34,39.5,45.0,29.0
2580,35,40.0,37.5,53.5
2581,25,35.0,45.5,54.5
2582,25,35.0,27.5,57.5
2583,25,35.0,48.5,50.5
2584,65,55.0,80.5,82.5
2585,65,55.0,77.5,64.5
2586,25,35.0,45.5,23.5
2587,25,35.0,31.5,49.5
2588,65,55.0,43.5,32.5
2589,25,35.0,58.5,50.5
2590,25,35.0,24.5,21.5
2591,25,35.0,17.5,42.5
2592,39,42.0,64.5,50.5
2593,44,44.5,68.0,62.0
2594,25,35.0,34.5,46.5
2595,66,55.5,61.0,55.0
2596,25,35.0,24.5,41.5
2597,25,35.0,22.5,28.5
2598,45,45.5,69.5,44.5
2599,0,23.0,15.0,20.0
2600,40,43.0,25.0,69.0
2601,35,40.5,38.5,60.5
2602,41,43.5,28.5,53.5
2603,61,53.5,62.5,71.5
2604,36,41.0,28.0,20.0
2605,25,35.5,52.5,41.5
2606,37,41.5,20.5,19.5
2607,37,41.5,52.5,18.5
2608,58,52.0,74.0,53.0
2609,39,42.5,26.5,41.5
2610,9,27.5,24.5,15.5
2611,41,43.5,41.5,46.5
2612,46,46.0,63.0,28.0
2613,35,40.5,32.5,64.5
2614,25,35.5,43.5,45.5
2615,25,35.5,61.5,22.5
2616,51,48.5,39.5,62.5
2617,27,36.5,14.5,39.5
2618,46,46.0,51.0,58.0
2619,29,37.5,46.5,59.5
2620,28,37.0,46.0,28.0
2621,62,54.0,35.0,35.0
2622,50,48.0,28.0,35.0
2623,45,45.5,38.5,49.5
2624,51,48.5,69.5,41.5
2625,62,54.0,74.0,75.0
2626,39,42.5,41.5,41.5
2627,25,35.5,29.5,46.5
2628,46,46.0,38.0,72.0
2629,46,46.0,61.0,27.0
2630,25,35.5,28.5,31.5
2631,28,37.0,27.0,43.0
2632,37,41.5,67.5,31.5
2633,33,39.5,36.5,48.5
2634,39,42.5,56.5,28.5
2635,33,39.5,60.5,23.5
2636,43,44.5,42.5,61.5
2637,39,42.5,25.5,47.5
2638,51,48.5,58.5,47.5
2639,27,36.5,63.5,25.5
2640,39,42.5,43.5,30.5
2641,33,39.5,31.5,19.5
2642,35,40.5,52.5,19.5
2643,49,47.5,67.5,51.5
2644,35,40.5,53.5,56.5
2645,39,42.5,65.5,26.5
2646,39,42.5,38.5,69.5
2647,50,48.0,44.0,65.0
2648,28,37.0,56.0,40.0
2649,32,39.0,53.0,65.0
2650,28,37.0,47.0,59.0
2651,32,39.0,39.0,46.0
2652,34,40.0,59.0,35.0
2653,36,41.0,63.0,38.0
2654,54,50.0,45.0,61.0
2655,38,42.0,20.0,27.0
2656,32,39.0,55.0,41.0
2657,32,39.0,34.0,18.0
2658,32,39.0,45.0,56.0
2659,7,26.5,50.5,39.5
2660,50,48.0,47.0,28.0
2661,40,43.0,57.0,45.0
2662,60,53.0,43.0,62.0
2663,38,42.0,57.0,56.0
2664,32,39.0,38.0,16.0
2665,14,30.0,57.0,37.0
2666,32,39.0,45.0,17.0
2667,21,33.5,31.5,27.5
2668,14,30.0,44.0,48.0
2669,69,57.5,55.5,76.5
2670,37,41.5,61.5,53.5
2671,21,33.5,56.5,23.5
2672,21,33.5,31.5,15.5
2673,21,33.5,45.5,10.5
2674,32,39.0,38.0,16.0
2675,32,39.0,52.0,31.0
2676,21,33.5,16.5,11.5
2677,23,34.5,19.5,28.5
2678,21,33.5,51.5,42.5
2679,63,54.5,65.5,33.5
2680,19,32.5,28.5,25.5
2681,50,48.0,28.0,51.0
2682,40,43.0,67.0,44.0
2683,36,41.0,44.0,53.0
2684,33,39.5,31.5,26.5
2685,31,38.5,37.5,56.5
2686,33,39.5,33.5,53.5
2687,35,40.5,47.5,19.5
2688,40,43.0,27.0,57.0
2689,51,48.5,55.5,27.5
2690,68,57.0,67.0,50.0
2691,44,45.0,52.0,63.0
2692,16,31.0,27.0,39.0
2693,28,37.0,35.0,34.0
2694,46,46.0,41.0,30.0
2695,38,42.0,39.0,55.0
2696,19,32.5,15.5,10.5
2697,25,35.5,50.5,28.5
2698,48,47.0,49.0,73.0
2699,43,44.5,41.5,49.5
2700,12,29.0,27.0,32.0
2701,26,36.0,39.0,28.0
2702,47,46.5,34.5,42.5
2703,38,42.0,38.0,26.0
2704,46,46.0,57.0,65.0
2705,36,41.0,59.0,32.0
2706,31,38.5,55.5,50.5
2707,47,46.5,44.5,46.5
2708,30,38.0,64.0,44.0
2709,18,32.0,15.0,49.0
2710,24,35.0,14.0,53.0
2711,18,32.0,53.0,25.0
2712,33,39.5,57.5,27.5
2713,30,38.0,34.0,48.0
2714,33,39.5,38.5,46.5
2715,18,32.0,16.0,26.0
2716,18,32.0,22.0,39.0
2717,35,40.5,26.5,21.5
2718,56,51.0,67.0,54.0
2719,44,45.0,43.0,71.0
2720,74,60.0,69.0,84.0
2721,18,32.0,15.0,40.0
2722,35,41.0,61.5,55.5
2723,32,39.5,49.0,30.0
2724,31,39.0,49.5,21.5
2725,14,30.5,35.0,49.0
2726,14,30.5,14.0,30.0
2727,54,50.5,50.0,65.0
2728,32,39.5,60.0,46.0
2729,35,41.0,36.5,18.5
2730,15,31.0,41.5,41.5
2731,40,43.5,59.0,25.0
2732,35,41.0,59.5,64.5
2733,35,41.0,58.5,39.5
2734,34,40.5,23.0,31.0
2735,31,39.0,57.5,63.5
2736,54,50.5,69.0,34.0
2737,66,56.5,44.0,61.0
2738,31,39.0,50.5,31.5
2739,36,41.5,34.0,67.0
2740,16,31.5,13.0,50.0
2741,16,31.5,11.0,30.0
2742,44,45.5,30.0,60.0
2743,40,43.5,44.0,24.0
2744,31,39.0,58.5,16.5
2745,31,39.0,22.5,59.5
2746,32,39.5,41.0,36.0
2747,55,51.0,66.5,65.5
2748,32,39.5,36.0,34.0
2749,46,46.5,34.0,38.0
2750,30,38.5,57.0,52.0
2751,18,32.5,12.0,58.0
2752,11,29.0,19.5,14.5
2753,18,32.5,32.0,10.0
2754,18,32.5,39.0,18.0
2755,18,32.5,56.0,46.0
2756,18,32.5,35.0,50.0
2757,18,32.5,18.0,13.0
2758,11,29.0,17.5,38.5
2759,18,32.5,11.0,46.0
2760,11,29.0,39.5,15.5
2761,52,49.5,71.0,35.0
2762,25,36.0,24.5,44.5
2763,11,29.0,46.5,5.5
2764,30,38.5,17.0,47.0
2765,18,32.5,36.0,28.0
2766,62,54.5,60.0,70.0
2767,18,32.5,18.0,15.0
2768,46,46.5,27.0,67.0
2769,18,32.5,55.0,27.0
2770,75,61.0,78.5,82.5
2771,46,46.5,60.0,26.0
2772,11,29.0,26.5,31.5
2773,48,47.5,63.0,68.0
2774,11,29.0,28.5,8.5
2775,18,32.5,24.0,23.0
2776,50,48.5,60.0,33.0
2777,56,51.5,72.0,45.0
2778,36,41.5,52.0,47.0
2779,33,40.0,30.5,50.5
2780,39,43.0,39.5,68.5
2781,29,38.0,19.5,18.5
2782,34,40.5,37.0,50.0
2783,19,33.0,55.5,14.5
2784,39,43.0,32.5,55.5
2785,33,40.0,53.5,19.5
2786,23,35.0,21.5,29.5
2787,44,45.5,45.0,24.0
2788,29,38.0,18.5,56.5
2789,46,46.5,50.0,34.0
2790,25,36.0,13.5,21.5
2791,29,38.0,44.5,24.5
2792,29,38.0,19.5,56.5
2793,19,33.0,21.5,21.5
2794,42,44.5,70.0,68.0
2795,32,39.5,46.0,42.0
2796,29,38.0,51.5,33.5
2797,29,38.0,16.5,59.5
2798,48,47.5,30.0,62.0
2799,32,39.5,29.0,33.0
2800,39,43.0,55.5,30.5
2801,28,37.5,25.0,33.0
2802,28,37.5,50.0,38.0
2803,28,37.5,36.0,60.0
2804,28,37.5,38.0,30.0
2805,71,59.0,49.5,53.5
2806,28,37.5,48.0,50.0
2807,44,45.5,40.0,63.0
2808,32,39.5,28.0,31.0
2809,39,43.0,44.5,40.5
2810,28,37.5,38.0,39.0
2811,41,44.0,36.5,57.5
2812,28,37.5,34.0,26.0
2813,42,44.5,22.0,45.0
2814,25,36.0,49.5,42.5
2815,28,37.5,63.0,31.0
2816,28,37.5,57.0,21.0
2817,39,43.0,58.5,66.5
2818,33,40.0,21.5,16.5
2819,33,40.0,50.5,45.5
2820,28,37.5,31.0,59.0
2821,44,45.5,72.0,62.0
2822,70,58.5,76.0,83.0
2823,28,37.5,40.0,16.0
2824,28,37.5,38.0,54.0
2825,43,45.0,43.5,36.5
2826,45,46.0,37.5,29.5
2827,59,53.0,49.5,62.5
2828,48,47.5,57.0,41.0
2829,43,45.0,65.5,55.5
2830,7,27.0,4.5,27.5
2831,33,40.0,63.5,38.5
2832,7,27.0,34.5,35.5
2833,37,42.0,25.5,62.5
2834,60,53.5,52.0,41.0
2835,50,48.5,25.0,54.0
2836,21,34.0,10.5,24.5
2837,21,34.0,33.5,27.5
2838,25,36.0,15.5,23.5
2839,48,47.5,24.0,52.0
2840,37,42.0,38.5,18.5
2841,21,34.0,18.5,18.5
2842,21,34.0,50.5,43.5
2843,21,34.0,19.5,55.5
2844,21,34.0,19.5,45.5
2845,43,45.0,24.5,69.5
2846,43,45.0,57.5,65.5
2847,48,47.5,47.0,42.0
2848,25,36.0,53.5,20.5
2849,21,34.0,19.5,38.5
2850,21,34.0,44.5,49.5
2851,24,35.5,56.0,28.0
2852,21,34.0,27.5,46.5
2853,51,49.0,70.5,52.5
2854,21,34.0,40.5,44.5
2855,41,44.0,64.5,26.5
2856,38,42.5,60.0,38.0
2857,40,43.5,62.0,23.0
2858,25,36.0,13.5,62.5
2859,34,40.5,35.0,42.0
2860,24,35.5,61.0,58.0
2861,49,48.0,57.5,54.5
2862,64,55.5,65.0,46.0
2863,25,36.0,49.5,34.5
2864,25,36.0,25.5,37.5
2865,44,45.5,39.0,47.0
2866,25,36.0,50.5,20.5
2867,24,35.5,54.0,40.0
2868,25,36.0,45.5,56.5
2869,62,54.5,43.0,56.0
2870,26,36.5,31.0,59.0
2871,33,40.0,44.5,24.5
2872,26,36.5,38.0,36.0
2873,22,34.5,39.0,50.0
2874,53,50.0,62.5,73.5
2875,47,47.0,36.5,32.5
2876,35,41.0,28.5,30.5
2877,63,55.5,81.5,70.5
2878,40,44.0,60.0,48.0
2879,40,44.0,27.0,20.0
2880,40,44.0,25.0,43.0
2881,11,29.5,32.5,42.5
2882,14,31.0,51.0,24.0
2883,18,33.0,36.0,27.0
2884,18,33.0,53.0,53.0
2885,18,33.0,11.0,30.0
2886,18,33.0,56.0,22.0
2887,19,33.5,50.5,16.5
2888,19,33.5,42.5,36.5
2889,20,34.0,36.0,19.0
2890,20,34.0,50.0,56.0
2891,68,58.0,49.0,61.0
2892,68,58.0,44.0,56.0
2893,21,34.5,47.5,53.5
2894,21,34.5,47.5,26.5
2895,21,34.5,46.5,33.5
2896,21,34.5,60.5,21.5
2897,21,34.5,44.5,35.5
2898,21,34.5,58.5,10.5
2899,22,35.0,36.0,40.0
2900,67,57.5,42.5,40.5
2901,23,35.5,42.5,31.5
2902,65,56.5,73.5,51.5
2903,24,36.0,23.0,20.0
2904,25,36.5,12.5,43.5
2905,25,36.5,17.5,51.5
2906,25,36.5,21.5,51.5
2907,25,36.5,20.5,51.5
2908,63,55.5,78.5,54.5
2909,25,36.5,58.5,51.5
2910,25,36.5,33.5,22.5
2911,25,36.5,53.5,15.5
2912,26,37.0,48.0,46.0
2913,26,37.0,35.0,37.0
2914,26,37.0,19.0,17.0
2915,26,37.0,35.0,38.0
2916,61,54.5,69.5,53.5
2917,60,54.0,37.0,31.0
2918,27,37.5,34.5,34.5
2919,27,37.5,37.5,41.5
2920,59,53.5,59.5,63.5
2921,28,38.0,20.0,48.0
2922,59,53.5,66.5,31.5
2923,28,38.0,61.0,18.0
2924,59,53.5,48.5,65.5
2925,28,38.0,23.0,57.0
2926,28,38.0,15.0,56.0
2927,28,38.0,16.0,20.0
2928,28,38.0,44.0,31.0
2929,28,38.0,15.0,44.0
2930,28,38.0,30.0,49.0
2931,28,38.0,20.0,57.0
2932,28,38.0,49.0,59.0
2933,56,52.0,59.0,39.0
2934,29,38.5,44.5,63.5
2935,29,38.5,59.5,27.5
2936,55,51.5,34.5,55.5
2937,55,51.5,70.5,28.5
2938,30,39.0,19.0,62.0
2939,30,39.0,56.0,49.0
2940,30,39.0,62.0,53.0
2941,54,51.0,49.0,46.0
2942,30,39.0,15.0,52.0
2943,54,51.0,51.0,42.0
2944,54,51.0,39.0,42.0
2945,54,51.0,77.0,55.0
2946,54,51.0,43.0,66.0
2947,31,39.5,23.5,48.5
2948,53,50.5,54.5,27.5
2949,53,50.5,35.5,34.5
2950,53,50.5,60.5,47.5
2951,31,39.5,33.5,43.5
2952,32,40.0,54.0,48.0
2953,53,50.5,60.5,70.5
2954,52,50.0,49.0,35.0
2955,52,50.0,76.0,33.0
2956,52,50.0,26.0,59.0
2957,32,40.0,30.0,16.0
2958,32,40.0,56.0,66.0
2959,32,40.0,17.0,26.0
2960,52,50.0,73.0,45.0
2961,32,40.0,34.0,26.0
2962,32,40.0,30.0,48.0
2963,32,40.0,21.0,28.0
2964,32,40.0,48.0,34.0
2965,32,40.0,23.0,62.0
2966,51,49.5,50.5,29.5
2967,32,40.0,19.0,54.0
2968,51,49.5,59.5,72.5
2969,51,49.5,58.5,70.5
2970,50,49.0,48.0,28.0
2971,33,40.5,44.5,48.5
2972,50,49.0,31.0,39.0
2973,33,40.5,41.5,63.5
2974,33,40.5,51.5,42.5
2975,49,48.5,49.5,33.5
2976,49,48.5,54.5,46.5
2977,34,41.0,20.0,30.0
2978,48,48.0,63.0,56.0
2979,34,41.0,43.0,28.0
2980,34,41.0,31.0,59.0
2981,34,41.0,35.0,31.0
2982,48,48.0,54.0,63.0
2983,47,47.5,26.5,29.5
2984,35,41.5,22.5,57.5
2985,48,48.0,57.0,58.0
2986,47,47.5,51.5,56.5
2987,35,41.5,50.5,45.5
2988,47,47.5,57.5,56.5
2989,47,47.5,62.5,72.5
2990,35,41.5,18.5,40.5
2991,35,41.5,25.5,63.5
2992,46,47.0,72.0,30.0
2993,46,47.0,49.0,54.0
